,name,weight,retail_price,max_retail_price,category,url
0,gantlu/sajjalu/గంట్లు/సజ్జలు,Size: 1 Kg,20,25,animal feeds,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623148880692-663473e6-8d68-4df5-9370-d666bf730213.jpeg
1,pitta gantlu/ పిట్ట గంట్లు,Size: 1 Kg,35,40,animal feeds,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623563632761-edc1d313-6ddd-4c49-ba2f-8caf9faa6773.jpeg
2,potti chollu/ragulu/ రాగులు,Size: 1 Kg,30,35,animal feeds,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623240856254-0f11ee96-6ed7-4eca-9251-8001eae7cc49.jpeg
3,cleaning chollu/ragulu/ రాగులు,Size: 1 Kg,35,40,animal feeds,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241041674-b1390131-b3d9-4d1b-9c9c-e70af5562bfd.jpeg
4,white jonnalu/ తెల్ల జొన్నలు,Size: 1 Kg,20,25,animal feeds,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241220021-a3121598-6ffb-4613-ab81-7d1db93f3a48.jpeg
5,pacha jonnalu / పచ్చ జొన్నలు,per kg,60,75,animal feeds,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241405364-7a0e4c2e-22b7-4690-8d2f-8caf173e6160.jpeg
6,verusenagapendi/వేరుశెనగపిండి,Size: 1 Kg,45,50,animal feeds,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241564609-1795dffb-948e-4300-a64c-46139e35d215.jpeg
7,vulavalu/horse gram / వులవలు,Size: 1 Kg,40,50,animal feeds,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623563805318-8aacfd9c-5b1f-4ea9-975c-b14ceced972d.jpeg
0,bellam kundu for aqua only,per kg,50,,aquaculture,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1625920323297-1decc81b-7546-46f8-b6cd-60518d47d66d.jpeg
1,bleaching powder for aqua,per 25 kg,750,"1,000",aquaculture,https://cdn.mydukaan.io/app/image/357x357/?url=https://projecteagle.s3.ap-south-1.amazonaws.com/images/fafb3fb5-6759-47ee-9a9d-d24989f764c6.jpg
