pid,name,unit,retail_price,actual_price,wholesale_price,category,description,quantity,url,enable,variant_id,brand,barcode,loose,sid
0,Gantlu/Sajjalu/గంట్లు/సజ్జలు,1 Kg,23,30,23,Animal Feeds,this item is Gantlu/Sajjalu/గంట్లు/సజ్జలు,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623148880692-663473e6-8d68-4df5-9370-d666bf730213.jpeg,True,0,,,False,1
1,Gantlu/Sajjalu/గంట్లు/సజ్జలు,5 Kg,115,130,115,Animal Feeds,this item is Gantlu/Sajjalu/గంట్లు/సజ్జలు,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623148880692-663473e6-8d68-4df5-9370-d666bf730213.jpeg,True,1,,,False,1
2,Pitta Gantlu/ పిట్ట గంట్లు,1 Kg,35,40,35,Animal Feeds,this item is Pitta Gantlu/ పిట్ట గంట్లు,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623563632761-edc1d313-6ddd-4c49-ba2f-8caf9faa6773.jpeg,True,0,,,False,1
3,Pitta Gantlu/ పిట్ట గంట్లు,5 Kg,175,200,175,Animal Feeds,this item is Pitta Gantlu/ పిట్ట గంట్లు,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623563632761-edc1d313-6ddd-4c49-ba2f-8caf9faa6773.jpeg,True,1,,,False,1
4,Potti Chollu/Ragulu/ రాగులు,1 Kg,30,35,30,Animal Feeds,this item is Potti Chollu/Ragulu/ రాగులు,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623240856254-0f11ee96-6ed7-4eca-9251-8001eae7cc49.jpeg,True,0,,,False,1
5,Potti Chollu/Ragulu/ రాగులు,5 Kg,150,175,150,Animal Feeds,this item is Potti Chollu/Ragulu/ రాగులు,100,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623240856254-0f11ee96-6ed7-4eca-9251-8001eae7cc49.jpeg,True,1,,,False,1
6,Cleaning Chollu/Ragulu/ రాగులు,1 Kg,35,40,35,Animal Feeds,this item is Cleaning Chollu/Ragulu/ రాగులు,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241041674-b1390131-b3d9-4d1b-9c9c-e70af5562bfd.jpeg,True,0,,,False,1
7,Cleaning Chollu/Ragulu/ రాగులు,5 Kg,175,200,175,Animal Feeds,this item is Cleaning Chollu/Ragulu/ రాగులు,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241041674-b1390131-b3d9-4d1b-9c9c-e70af5562bfd.jpeg,True,1,,,False,1
8,White Jonnalu/ తెల్ల జొన్నలు,1 Kg,20,25,20,Animal Feeds,this item is White Jonnalu/ తెల్ల జొన్నలు,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241220021-a3121598-6ffb-4613-ab81-7d1db93f3a48.jpeg,True,0,,,False,1
9,White Jonnalu/ తెల్ల జొన్నలు,5 Kg,100,125,100,Animal Feeds,this item is White Jonnalu/ తెల్ల జొన్నలు,100,https://cdn6.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241220021-a3121598-6ffb-4613-ab81-7d1db93f3a48.jpeg,True,1,,,False,1
10,Pacha Jonnalu / పచ్చ జొన్నలు,per kg,60,75,60,Animal Feeds,this item is Pacha Jonnalu / పచ్చ జొన్నలు,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241405364-7a0e4c2e-22b7-4690-8d2f-8caf173e6160.jpeg,True,0,,,False,1
11,Verusenagapendi/వేరుశెనగపిండి,1 Kg,55,60,55,Animal Feeds,this item is Verusenagapendi/వేరుశెనగపిండి,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241564609-1795dffb-948e-4300-a64c-46139e35d215.jpeg,True,0,,,False,1
12,Verusenagapendi/వేరుశెనగపిండి,5 Kg,275,300,275,Animal Feeds,this item is Verusenagapendi/వేరుశెనగపిండి,100,https://cdn4.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241564609-1795dffb-948e-4300-a64c-46139e35d215.jpeg,True,1,,,False,1
