,url,name,weight,actual_price,striked_price,category
0,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1625920323297-1decc81b-7546-46f8-b6cd-60518d47d66d.jpeg,bellam kundu for aqua only,per kg,50,,aquaculture products
1,https://cdn.mydukaan.io/app/image/357x357/?url=https://projecteagle.s3.ap-south-1.amazonaws.com/images/fafb3fb5-6759-47ee-9a9d-d24989f764c6.jpg,bleaching powder for aqua,per 25 kg,750,"1,000",aquaculture products
2,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1625920218180-a7a0c133-b0e8-419f-8f6b-292d49b12d2e.jpeg,tenisoda for aqua/ sodium bicarbonate,per 25 kg,950,"1,000",aquaculture products
3,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1623241564609-1795dffb-948e-4300-a64c-46139e35d215.jpeg,verusenagapendi/వేరుశెనగపిండి,Size: 1 Kg,45,50,aquaculture products
4,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1625920560842-aa3721be-7fd1-4e24-80d2-8a5ddb705aad.jpeg,dried yeast for aqua,per 500 gm,160,225,aquaculture products
5,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1626002579845-1656fd36-b775-46aa-b180-7b92a7cc3b9d.jpeg,vamu/ajwain,Size: 50 Gm,15,20,aquaculture products
6,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619880272673-844213b9-8dfd-40d6-bb0a-a0105d72fa4e.jpeg,turmaric powder/ పసుపు పొడి లూస్/ pasupu,Size: 50 gm,10,15,aquaculture products
7,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619166933026-10602b6e-8281-410c-932c-08dd46a5dff7.jpeg,మెంతులు / fenugreek seeds/ menthulu,Size: 50gm,10,,aquaculture products
8,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619281231116-a50ddfc7-e39d-4ab5-8370-575d433368e0.jpeg,tamarind normal/చింతపండు,Size: 250gm,35,40,aquaculture products
9,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619281046725-40b65906-8a68-4091-9702-0003a2200269.jpeg,garlic medium size/వెల్లులిపాయలు మీడియం సైజ్,Size: 250gm,30,35,aquaculture products
10,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619280956154-4261148d-728a-4222-8685-bc81d1742728.jpeg,garlic small/చిన్న,Size: 250gm,25,30,aquaculture products
11,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619280980435-e4dd310d-3088-4027-871d-8348ea1561e0.jpeg,garlic big/పెద్ద వెల్లులిపాయలు,Size: 250gm,40,45,aquaculture products
12,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1626003776636-f75fa69d-b985-4e9b-8eef-a3f67932e7e2.jpeg,varipindi/ rice floor,Size: 250 Gm,8,10,aquaculture products
