,url,name,weight,actual_price,striked_price,category
0,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-milk-soap-d21nr6grzu.jpg,johnson's baby milk soap/జాన్సన్ బేబీ మిల్క్ సోప్,Size: 50gm,35,,baby-care
1,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-oil-with-vitamin-e-amn9npe52y.jpg,johnson's baby oil with vitamin e/జాన్సన్ బేబీ ఆయిల్ విత్ విటమిన్ ఇ,Size: 50ml,52,,baby-care
2,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-lotion-kg6sc9qmeh.jpg,johnson's baby lotion/జాన్సన్ బేబీ లోషన్,per 50 ml,45,,baby-care
3,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619759898535-5c927741-bf11-4442-b4d0-8a86d4a297f9.jpeg,johnson's baby cream/జాన్సన్ బేబీ క్రీమ్,Size: 30gm,45,,baby-care
4,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619760122240-f9b80b05-ba5f-46ea-b8f7-632d203f2e90.jpeg,johnson's baby hair oil/జాన్సన్ బేబీ హెయిర్ ఆయిల్,per 60 ml,55,,baby-care
5,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619760217338-e78b3ef7-e8a0-4215-82c0-7aef37c69e82.jpeg,himalaya baby powder/హిమాలయ బేబీ పౌడర్,per 50 gram,35,,baby-care
6,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-powder-80rio5dukv.jpg,johnson's baby powder/జాన్సన్ బేబీ పౌడర్,Size: 50gm,40,,baby-care
7,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619775390514-efbef266-c31d-4820-9eff-6f2765003f71.jpeg,woodwards gripe water/వుడ్వర్డ్స్ గ్రైప్ వాటర్,per 200 ml,75,,baby-care
8,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/pampers-happy-skin-pants-xl-ltvdh2s2su.jpg,pampers happy skin pants 4-8 kg,per 2 pc,20,,baby-care
9,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/pampers-happy-skin-pants-s-ix91vq4wrh.jpg,pampers happy skin pants(s) 7-12 kg,per 2 pc,24,,baby-care
10,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/pampers-happy-skin-pants-l-hvhmyancq1.jpg,pampers happy skin pants(l) 9-14 kg,per 2 pc,28,,baby-care
11,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/pampers-new-born-baby-dry-pants-cpun5p76e0.jpg,pampers new born baby dry pants upto 5 kg,per 2 pcs,18,,baby-care
12,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619950560608-802d0189-98e3-4b10-8e5b-1178432c0a03.jpeg,nine diaper pants (s) 4-8 kg,per piece,10,,baby-care
13,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1620011737177-306a0580-4cb0-43b5-82a8-4e4dec3f85b3.jpeg,ajay flexo junior brush / అజయ్ ఫ్లెక్సో జూనియర్ బ్రష్,per piece,12,,baby-care
14,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/baby-care/johnson-s-baby-shampoo-vhovyh1m4i.jpg,johnson's baby shampoo / జాన్సన్ బేబీ షాంపూ,Size: 50ml,55,,baby-care
15,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan-prod.s3.amazonaws.com/master/products/himalaya-baby-powder-200g-baby-soap-free.jpg,himalaya baby powder 200g (baby soap free),per 200 gm,135,,baby-care
16,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan-prod.s3.amazonaws.com/master/products/himalaya-gentle-baby-soap-75g.png,himalaya gentle baby soap 75g,per 75 gm,49,50,baby-care
17,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan-prod.s3.amazonaws.com/master/products/himalaya-baby-powder-100g.jpg,himalaya baby powder 100g,per 100 gm,70,72,baby-care
