,url,name,weight,actual_price,striked_price,category
0,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/beverages/horlicks-classic-malt-its3jfqan5.jpg,horlicks classic malt (pouch)/హార్లిక్స్ క్లాసిక్ మాల్ట్ (పర్సు),Size: 8gm,2,,beverages
1,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619245977982-23c9c8a5-ed3b-4295-ae55-2d74d16a9cd4.jpeg,horlicks classic malt jars/హార్లిక్స్ క్లాసిక్ మాల్ట్ జాడి,per 200 gm,108,111,beverages
2,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619246023088-06f8e086-de1c-4580-8c10-ea1ae50a65ee.jpeg,horlicks classic malt (box)/హార్లిక్స్ క్లాసిక్ మాల్ట్ (బాక్స్),per 500 gram,220,229,beverages
3,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619247924374-fe924526-b0cb-4eeb-9246-447c1ae9c474.jpeg,bournvita jar/బోర్న్విటా జార్,per 500 gm,215,223,beverages
4,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619249944153-55b1801a-7fd5-46be-97a4-bfce881d4868.jpeg,boost (box)/బూస్ట్ (బాక్స్),per 500 gram,230,234,beverages
5,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619249928144-877f5fbf-c773-4a25-ab55-4fba3e286732.jpeg,boost (packet)/బూస్ట్ (ప్యాకెట్),Size: 7gm,2,,beverages
6,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/beverages/horlicks-chocolate-delight-2n7n14p6qj.jpg,horlicks chocolate delight jar/హార్లిక్స్ చాక్లెట్ డిలైట్ జార్,per 500 g,215,221,beverages
7,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/beverages/horlicks-regular-malt-wgd4gymtkz.jpg,horlicks regular malt lite/హార్లిక్స్ రెగ్యులర్ మాల్ట్ లైట్,per 450 g,285,290,beverages
8,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619249863858-0553de7c-0540-4833-9483-9be594aa1f75.jpeg,junior horlicks jar/జూనియర్ హార్లిక్స్ జార్,per 500 gram,285,288,beverages
9,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619249850547-fc700b98-b95d-487e-a9b2-b20f9d399dc0.jpeg,junior horlicks packet/జూనియర్ హార్లిక్స్ ప్యాకెట్,per 500 gram,205,209,beverages
10,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619249834780-b936acc5-3e09-492c-90d4-93babe80f16c.jpeg,mother's plus horlicks/మోథెర్స్ ప్లస్ హార్లిక్స్,Size: 200gm,195,199,beverages
11,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619249824092-b4d530be-98f7-490a-a078-fe19ce0c0ce7.jpeg,women's plus horlicks/మహిళల ప్లస్ హార్లిక్స్,per 400 gram,295,299,beverages
12,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619262483937-7d164067-3eaa-4013-8be5-22db2cf87922.jpeg,chakra gold special hotel pack/చక్రా గోల్డ్ స్పెషల్ హోటల్ ప్యాక్,per 500 gram,260,271,beverages
13,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619262653259-bc7521d2-7cdb-4987-8423-db03e728b94d.jpeg,chakra gold tea (box)/చక్ర గోల్డ్ టీ (బాక్స్),Size: 8.5gm,5,,beverages
