,url,name,weight,actual_price,striked_price,category
0,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619669552673-1faf8216-32f9-48d9-987b-8a62198934be.jpeg,badam / బాదంపప్పు,Size: 100gm,80,85,dry fruits
1,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619669613100-de07afba-6ffd-4856-ab85-365dad93e867.jpeg,eṇḍi kharjūraṁ / ఎండి ఖర్జూరం,Size: 100gm,30,35,dry fruits
2,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619933847370-1cc2f9a4-f23f-4011-aafc-2d264308136e.jpeg,endi drakshw normal / ఎండిదాక్,per 250 gram,130,200,dry fruits
3,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619933796124-8ad74a78-1cf5-4e23-9e08-f2f7e31a56f5.jpeg,endi drakshw sp / ఎండి దాక్ష స్పెషల్,Size: 250gm,200,250,dry fruits
4,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619669726321-f9d25983-7697-4996-8c3e-d975fcaeb12a.jpeg,anjur / అంజుర్,Size: 250gm,250,325,dry fruits
5,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1625919761917-a86d94b7-f37b-4010-80fd-6cba76b2afd9.jpeg,pista / పిస్తా,per 250 gram,300,495,dry fruits
6,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1624158588873-c6fab93b-3d37-4cb8-82ca-d53c4e2a9ee0.jpeg,walnuts / వాల్ నట్స్,per 250 gram,300,499,dry fruits
7,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619707430076-5da8a9de-0ac4-40c8-97e5-fffc9a7e9a16.jpeg,jedipappu/cashew nuts/జీడిపప్పు,Size: 50gm,35,40,dry fruits
8,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619707605935-500b4475-5c86-4538-b74b-7eb0fd32b528.jpeg,kismiss/కిస్మిస్,Size: 50gm,15,18,dry fruits
9,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1620282268983-fd70fb53-a788-4661-9699-98fc6862e1fb.jpeg,lina vacuum dates,per 450 gram,135,145,dry fruits
10,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1620882038964-76ed9d55-42e3-473f-af3e-616fa85384f4.jpeg,apis royal premium dates (buy 1 get 1 free),per 500 gram,230,,dry fruits
