,url,name,weight,actual_price,striked_price,category
0,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/rin-detergent-powder-crsua62o98.jpg,rin detergent powder / రిన్ డిటర్జెంట్ పౌడర్,Size: 55gm,5,,HomeCare
1,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619254608482-7046d046-08db-4f70-b49c-2acfeb717d74.jpeg,active wheel detergent / యాక్టివ్ వీల్ డిటర్జెంట్,Size: 60gm,5,,HomeCare
2,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/tide-plus-lemon-mint-detergent-powder-wa7gip7pt3.jpg,tide plus lemon & mint detergent powder / టైడ్ ప్లస్ నిమ్మకాయ & పుదీనా డిటర్జెంట్ పౌడర్,Size: 105gm,10,,HomeCare
3,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619254665523-cd7ad188-916b-4a0e-9f8a-cc3864c21f54.jpeg,surf excel quick wash detergent powder / సర్ఫ్ ఎక్సెల్ క్విక్ వాష్ డిటర్జెంట్ పౌడర్,Size: 80gm,10,,HomeCare
4,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/surf-excel-easy-wash-detergent-powder-o3t46z80mk.jpg,surf excel easy wash detergent powder / సర్ఫ్ ఎక్సెల్ ఈజీ వాష్ డిటర్జెంట్ పౌడర్,per kg,125,128,HomeCare
5,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619254720060-aa6acae6-c844-4839-8d31-f5423870e02b.jpeg,ariel complete detergent / ఏరియల్ కంప్లీట్ డిటర్జెంట్,Size: 85gm,10,,HomeCare
6,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/ariel-matic-top-load-detergent-powder-lo9c8pvywv.jpg,ariel matic top load detergent powder / ఏరియల్ మ్యాటిక్ టాప్ లోడ్ డిటర్జెంట్ పౌడర్,per kg,220,225,HomeCare
7,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/tide-ultra-matic-top-load-detergent-powder-7f4af8sgdw.jpg,tide ultra matic detergent powder / టైడ్ అల్ట్రా మ్యాటిక్ డిటర్జెంట్ పౌడర్,per kg,150,160,HomeCare
8,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619254783142-e62fe53a-d595-4395-8c7f-5539b60e4220.jpeg,ariel matic front load / ఏరియల్ మ్యాటిక్ ఫ్రంట్ లోడ్,per kg,240,250,HomeCare
9,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/surf-excel-matic-front-load-liquid-detergent-zdal6db5re.jpg,surf excel matic front load liquid detergent / సర్ఫ్ ఎక్సెల్ మ్యాటిక్ ఫ్రంట్ లోడ్ లిక్విడ్ డిటర్జెంట్,Size: 500ml,110,115,HomeCare
10,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/surf-excel-matic-top-load-liquid-detergent-ud5gjmixr5.jpg,surf excel matic top load liquid detergent / సర్ఫ్ ఎక్సెల్ మ్యాటిక్ టాప్ లోడ్ లిక్విడ్ డిటర్జెంట్,Size: 500ml,95,99,HomeCare
11,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/ariel-matic-top-load-liquid-detergent-s7n6qep7dm.jpg,ariel matic top load liquid detergent / ఏరియల్ మ్యాటిక్ టాప్ లోడ్ లిక్విడ్ డిటర్జెంట్,per liter,190,199,HomeCare
12,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/ariel-matic-front-load-liquid-detergent-et227j50iy.jpg,ariel matic front load liquid detergent / ఏరియల్ మ్యాటిక్ ఫ్రంట్ లోడ్ లిక్విడ్ డిటర్జెంట్,per 2 liter,485,500,HomeCare
13,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619254550857-0f78250d-8e80-43f0-a904-582d103ff83d.jpeg,xxx detergent powder / xxx డిటర్జెంట్ పౌడర్,Size: 75gm,5,,HomeCare
14,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619254834431-ba45b7e4-3a5a-426f-aaa9-3c277b47fed6.jpeg,sabena dishwash powder / సబేనా డిష్వాష్ పౌడర్,per kg,25,26,HomeCare
15,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619230228089-b15ffbb7-e057-4445-8702-170f85a612d7.jpeg,mana detergent powder / మన డిటర్జెంట్ పౌడర్,Size: 75gm,5,,HomeCare
16,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619578607966-43910e7d-a5d2-458c-86a0-504564a0dce3.jpeg,jet fighter mosquitoes coils/జెట్ ఫైటర్ మోస్క్విటోస్ కాయిల్స్,Size: 14 Coils,32,34,HomeCare
17,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/ujala-supreme-fabric-whitener-1lreho9vxs.jpg,ujala supreme fabric whitener / ఉజాలా సుప్రీం ఫ్యాబ్రిక్ వైటెనర్,Size: 75ml,25,,HomeCare
18,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/vim-lemon-concentrated-dishwash-gel-9jbh2m3zbp.jpg,vim lemon concentrated dishwash gel / విమ్ లెమన్ కాన్సంట్రేటెడ్ డిష్వాష్ జెల్,Size: 75ml,10,,HomeCare
19,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/harpic-power-plus-original-disinfectant-toilet-cleaner-o93dqdkhno.jpg,harpic power plus original disinfectant toilet cleaner / హార్పిక్ పవర్ ప్లస్ ఒరిజినల్ క్రిమిసంహారక టాయిలెట్ క్లీనర్,per 650 ml,87,89,HomeCare
20,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/lizol-citrus-disinfectant-surface-cleaner-2te5fkxc4f.jpg,lizol citrus disinfectant surface cleaner / లిజోల్ సిట్రస్ డిసిఇన్ఫెక్టాంట్ సర్ఫేస్ క్లీనర్,Size: 200ml,37,38,HomeCare
21,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/lizol-lavender-disinfectant-surface-cleaner-he7u2tje8k.jpg,lizol lavender disinfectant surface cleaner / లిజోల్ లావెండర్ డిసిఇన్ఫెక్టెంట్ సర్ఫేస్ క్లీనర్,Size: 200ml,36,38,HomeCare
22,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/lizol-jasmine-disinfectant-surface-cleaner-jijb8k7w47.jpg,lizol jasmine disinfectant surface cleaner / లిజోల్ జాస్మిన్ డిసిఇన్ఫెక్టెంట్ సర్ఫేస్ క్లీనర్,per 500 ml,91,93,HomeCare
23,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619254532183-b0b5a6f2-87c5-4a9b-a768-947862f376da.jpeg,nimyle floor cleaner/నిమిలే ఫ్లోర్ క్లీనర్,per 500 ml,82,84,HomeCare
24,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619254515962-31d54ec5-d676-4436-999c-5f12d49d4cce.jpeg,harpic red bathroom cleaner / హార్పిక్ రెడ్ బాత్రూమ్ క్లీనర్,Size: 200ml,42,44,HomeCare
25,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/vanish-oxi-action-liquid-stain-remover-37ea5szw2w.jpg,vanish oxi action liquid stain remover / వానిష్ ఆక్సి యాక్షన్ లిక్విడ్ స్టెయిన్ రిమూవర్,per 180 ml,57,59,HomeCare
26,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/home-care/colin-glass-cleaner-pump-2x-more-shine-with-shine-boosters-6b5lx32g8e.jpg,colin glass cleaner pump 2x more shine with shine boosters / కోలిన్ గ్లాస్ క్లీనర్ పంప్ 2x మోర్ షైన్ విత్ షైన్ బూస్టర్స్,per 500 ml,87,89,HomeCare
