,url,name,weight,actual_price,striked_price,category
0,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/personal-care/parachute-100-pure-coconut-hair-oil-l3ykmumse6.jpg,parachute 100% pure coconut hair oil/పారాచూట్ 100% స్వచ్ఛమైన కొబ్బరి నూనె,Size: 50ml,20,,oils
1,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/personal-care/navratana-cool-ayurvedic-hair-oil-nqag3p07bj.jpg,navratana cool ayurvedic hair oil/నవరత్న కూల్ ఆయుర్వేద హెయిర్ ఆయిల్,per 100 ml,79,,oils
2,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/personal-care/dabur-amla-hair-oil-8zjc3upd0e.jpg,dabur amla hair oil/డాబర్ ఆమ్లా హెయిర్ ఆయిల్,Size: 45ml,20,,oils
3,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1620016805085-b1c0deea-4e99-44f6-9f11-48f1dde0bfe9.jpeg,parachute ayurvedic coconut oil / పారాచూట్ ఆయుర్వేద కొబ్బరి నూనె,Size: 45ml,30,,oils
4,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1620017133399-a939bec8-0b82-4aa9-ad28-c9cea516490c.jpeg,parachute aloe vera hair oil / పారాచూట్ అలోవెరా హెయిర్ ఆయిల్,Size: 150ml,75,,oils
5,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1622001294599-32081a90-b7ed-4c6e-bcd7-d2be57be0f83.jpeg,gold winner sunflower oil/ గోల్డ్ విన్నర్ సన్ఫ్లవర్ ఆయిల్,per 5 liter,850,950,oils
6,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1622001307839-66f1a535-a650-4457-858d-1ec54e74e2e4.jpeg,gold winner sunflower oil/ గోల్డ్ విన్నర్ సన్ఫ్లవర్ ఆయిల్,per liter,155,180,oils
7,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1622002108471-f39d9708-3844-4ce3-8a3c-20c3166cdc6b.jpeg,freedom sun flower oil / ఫ్రీడమ్ సన్ ఫ్లవర్ ఆయిల్,per 5 liter,850,"1,035",oils
8,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1622002096463-30d76876-a180-4cfe-9e57-1da1c440daf4.jpeg,freedom sun flower oil / ఫ్రీడమ్ సన్ ఫ్లవర్ ఆయిల్,per liter,160,195,oils
9,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1622002085534-12c0f3d5-9545-40f3-a549-855c59a09114.jpeg,freedom sun flower oil / ఫ్రీడమ్ సన్ ఫ్లవర్ ఆయిల్,per 15 liter,"2,500","3,100",oils
