,url,name,weight,actual_price,striked_price,category
0,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619169318902-5e7615a2-c75a-4c66-970c-2cfb8af3ba67.jpeg,కుంకుడికాయలు పెద్దవి / soap nut big size,Size: 250gm,45,,personal-care
1,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619169281207-842f62d9-c400-440c-bb48-e96c153c1687.jpeg,కుంకుడికాయలు / soap nut,Size: 250gm,40,45,personal-care
2,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/personal-care/dettol-classic-antiseptic-liquid-tllexkuvi8.jpg,dettol classic antiseptic liquid / డెటోల్ క్లాసిక్ యాంటిసెప్టిక్ లిక్విడ్,per liter,300,301.29,personal-care
3,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619253198051-83a47610-fdbf-468c-9791-7248b07b47e8.jpeg,dettol hand wash / డెటోల్ హ్యాండ్ వాష్,per 250 ml,87,89,personal-care
4,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619253252653-530fa4fb-e0fd-4e99-81d3-68168ee09006.jpeg,savlon hand wash / సావ్లాన్ హ్యాండ్ వాష్,per 20 ml,25,,personal-care
5,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/personal-care/santoor-sandal-turmeric-soap-e7h8x4jtb2.jpg,santoor sandal & turmeric soap / సంతూర్ శాండల్ & పసుపు సబ్బు,Size: 100gm,29,30,personal-care
6,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619280737849-5c205b89-5008-41e6-972c-f2d25cfb3dd0.jpeg,santoor aloe fresh bathing soap / శాంతూర్ కలబంద తాజా స్నానపు సబ్బు,Size: 200gm(Set),39,40,personal-care
7,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/personal-care/santoor-almond-soft-soap-with-sandal-almond-milk-q6afhei74y.jpg,santoor almond soft soap with sandal & almond milk / శాంతూర్ బాదం మిల్క్‌ సాఫ్ట్ సోప్,per 625 gram,145,150,personal-care
8,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/personal-care/dettol-original-soap-vdddjl3voy.jpg,dettol original soap / డెటోల్ ఒరిజినల్ సబ్బు,Size: 45gm,10,,personal-care
9,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619280785282-59292e01-2efb-4552-ba9d-cf8a40b89532.jpeg,dettol cool soap / డెటోల్ కూల్ సోప్,per 300 gram,96,99,personal-care
