,url,name,weight,actual_price,striked_price,category
0,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619157762710-30cadacc-e98f-445f-8c6c-fdcbd0000a99.jpeg,తెల్ల గోధుమ రవ్వా / white upma ravva loose,Size: 250gm,9,12,ravva
1,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619157781777-6dd815c5-a1bd-464b-8483-7bb00d3f3ad4.jpeg,బన్సీ రవ్వ / wheat ravva/ bansi ravva,Size: 250gm,9,12,ravva
2,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619191267698-151110a8-4747-48c3-89fc-80b829888c10.jpeg,ఇడ్లీ రవ్వ / idly ravva loose,Size: 500gm,14,20,ravva
3,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619176966688-c78c1c1b-6048-49d8-b891-6c154afd62bc.jpeg,srilalitha idly ravva/శ్రీలలిత,per 5 kg,160,200,ravva
4,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1622646787201-f16eb2c3-c01b-4463-9ebc-f9c75fc51a52.jpeg,cow idly ravva/కౌ ఇడ్లీ రవ్వ,Size: 1 Kg,32,45,ravva
5,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619177317836-9b4b3ff6-7fad-480c-b200-bc55012758e2.jpeg,sir arthur cotton idly ravva/సర్ ఆర్థర్ కాటన్ ఇడ్లీ రవ్వ,Size: 1 Kg,32,50,ravva
6,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1622956166299-456ca77d-4f1e-402c-9ca7-3f4eee0e3660.jpeg,upma ravva/ godhuma ravva pack,Size: 500gm,20,30,ravva
7,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1622956198816-4a8cdc02-87bd-4e9c-9609-b2487880616b.jpeg,bansi ravva pack/బన్సీ రవ్వ పే,Size: 500gm,20,35,ravva
8,https://cdn.mydukaan.io/app/image/357x357/?url=https://dukaan-us.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1627289689397-7d118978-3c5e-47d1-8dd7-fcb2713f8218.jpeg,wheat javva ravva(గోధుమ జవ్వ రవ్వ),per 500 gram,70,85,ravva
9,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1626173275164-649a784e-014c-4f10-92aa-84b698e1f02c.jpeg,srilalitha rice ravva / vari nuka,per 500 gm,25,32,ravva
