,url,name,weight,actual_price,striked_price,category
0,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/snacks-branded-foods/maggi-2-minute-masala-instant-noodles-in30sgwyzn.jpg,maggi 2-minute masala instant noodles/మాగీ 2-నిమిషాల మసాలా తక్షణ నూడుల్స్,per 32 gram,5,,Snacks & Branded Foods
1,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619253381566-f8a946f8-f8e2-4f81-8129-6125f1e19e20.jpeg,sunfeast yippee magic masala noodles/సన్‌ఫీస్ట్ యిప్పీ మ్యాజిక్ మసాలా నూడుల్స్,per 70 g,12,,Snacks & Branded Foods
2,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/snacks-branded-foods/cadbury-dairy-milk-chocolate-shots-h51nn9u618.jpg,cadbury dairy milk chocolate shots,per 4 gm,5,,Snacks & Branded Foods
3,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/snacks-branded-foods/britannia-marie-gold-biscuits-combo-pack-oswqororqm.jpg,britannia marie gold biscuits combo pack(12pc),per 12 piece,60,,Snacks & Branded Foods
4,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/snacks-branded-foods/britannia-marie-gold-biscuits-w00n3v47mj.jpg,britannia marie gold biscuits,per 250 gm,32,,Snacks & Branded Foods
5,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619751458493-8d4d897d-11ef-459d-8763-21564f040453.jpeg,brittania marie gold,per 83 gram,10,,Snacks & Branded Foods
6,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619751948855-10a0d7c0-4b90-4a7b-9d36-2cf44ac9bd16.jpeg,britannia milk bikis,per 120 gram,20,,Snacks & Branded Foods
7,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/snacks-branded-foods/britannia-good-day-butter-cookies-ujgl4m0fi3.jpg,britannia good day butter cookies(12pack),per 12 piece,60,,Snacks & Branded Foods
8,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/snacks-branded-foods/britannia-50-50-sweet-salty-biscuits-2sqvn6ke8q.jpg,britannia 50-50 sweet & salty biscuits,per 76 gm,10,,Snacks & Branded Foods
9,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/snacks-branded-foods/britannia-bourbon-original-biscuits-qi1nslom78.jpg,britannia bourbon original biscuits,per 60 gm,10,,Snacks & Branded Foods
10,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619752242978-636b47ef-4dbe-4ae1-ac6f-cbeff612610f.jpeg,britannia bour bon biscuits,per 150 gram,30,,Snacks & Branded Foods
11,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619752461731-8f4a7d89-d36e-4245-908b-60063cb2c7dd.jpeg,britannia good day cashew cookies,Size: 60gm,10,,Snacks & Branded Foods
12,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619752657697-d0b7b352-1330-4621-ae77-b02d2e738e50.jpeg,britannia good day butter cookies,per 75 gram,10,,Snacks & Branded Foods
13,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619752768396-2dd01ad9-cf0f-41f2-b66d-905513966f7e.jpeg,britannia 50-50buscuits(12 pack),per 12 piece,60,,Snacks & Branded Foods
14,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619753060306-06195c50-afb8-4ece-9d0a-71081040754e.jpeg,horlicks biscuits 300gm,per 300 gram,30,,Snacks & Branded Foods
15,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619753125946-7399ece6-65f8-48c0-80e0-5c85c6251511.jpeg,horlicks biscuits 150gm,per 150 gram,20,,Snacks & Branded Foods
16,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619753224077-7bbfe39b-0325-4dce-9a5e-565e9d3924ee.jpeg,horlicks biscuits,per 45 gram,5,,Snacks & Branded Foods
17,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619753254725-04cfac1b-ec05-47ad-8fae-726cdf9acbaa.jpeg,horlicks biscuits,per 85 gram,10,,Snacks & Branded Foods
18,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/snacks-branded-foods/kinder-joy-boys-0lunbxwwzf.jpg,kinder joy boys,per 20 grams,40,,Snacks & Branded Foods
19,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619753936198-75292a9a-9b97-4349-a36c-128553e167d9.jpeg,kinder joy for girls,per 20 gram,40,,Snacks & Branded Foods
20,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/snacks-branded-foods/cadbury-chocobakes-choc-filled-cookies-cex28r830p.jpg,cadbury chocobakes choc-filled cookies,per 75 gm,30,,Snacks & Branded Foods
21,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619754730470-0d5c7834-48e4-4bb0-9fba-f71886b3b435.jpeg,cadbury celebrations,per 65 gram,50,,Snacks & Branded Foods
22,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/snacks-branded-foods/cadbury-dairy-milk-chocolate-bar-rmuv4wa8z0.jpg,cadbury dairy milk chocolate bar,per 50 gm,40,,Snacks & Branded Foods
23,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619755051514-bb647747-cf28-4300-bbb4-ec44180ccafa.jpeg,cadbury dairy milk,per 24 gram,20,,Snacks & Branded Foods
24,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619755171237-64fd23fa-5582-41f4-ab1b-e398c0fdb532.jpeg,cadbury dairy milk,per 7 gram,5,,Snacks & Branded Foods
25,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619755309538-4ceb221c-0d0c-4ea4-9a7e-9720bfc111c2.jpeg,cadbury dairy milk,per 130 gram,100,,Snacks & Branded Foods
26,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/snacks-branded-foods/cadbury-dairy-milk-silk-bubbly-chocolate-bar-2vaw1q19hp.jpg,cadbury dairy milk silk bubbly chocolate bar,per 50 gm,80,,Snacks & Branded Foods
27,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619755559191-16ce6401-0cec-432f-8ff7-96a405c289ec.jpeg,cadbury dairy milk fruit and nut bar,per 36 gram,40,,Snacks & Branded Foods
28,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619755617189-698f459c-a417-481c-be3c-dcc8a44f7b5b.jpeg,cadbury dairy milk,per 13 gram,10,,Snacks & Branded Foods
29,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/snacks-branded-foods/cadbury-5-star-chocolate-bar-1jmn04xz4d.jpg,cadbury 5 star chocolate bar,per 40 gm,20,,Snacks & Branded Foods
30,https://cdn.mydukaan.io/app/image/371x371/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619755853953-a10bf109-e139-41a4-9ef0-a75de8f8d4cf.jpeg,cadbury 5star chocolate,per 10 gram,5,,Snacks & Branded Foods
