,url,name,weight,actual_price,striked_price,category
0,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619191784306-83068ade-9748-4e43-ac97-739f1e332050.jpeg,గోదుములు / wheat,Size: 250gm,10,15,staples
1,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619253745556-e9d2ed6c-2fd0-4449-8928-6d3f64c47eed.jpeg,india gate super basmati rice/ఇండియా గేట్ సూపర్ బాస్మతి బియ్యం,Size: 1250gm,150,182,staples
2,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619253650818-e25e6aef-f31a-441f-89fa-da631a7fc461.jpeg,india gate dubar basmati rice/ఇండియా గేట్ దుబార బాస్మతి బియ్యం,per kg,110,115,staples
3,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619434676760-79b9a26f-eb44-4092-a026-72e2ac1f4623.jpeg,srilalitha basmati rice/శ్రీలలిత బాస్మతి బియ్యం,per kg,100,150,staples
4,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619231105616-38e1ec85-8838-46e6-ad25-5bf8e4c953de.jpeg,all star royal basmati rice/ఆల్ స్టార్ రాయల్ బాస్మతి బియ్యం,per kg,100,225,staples
5,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619253629552-49247e6b-83fd-4316-8dbc-77bdf801ebe6.jpeg,india gate classic basmathi rice/ఇండియా గేట్ క్లాసిక్ బాస్మతి బియ్యం,per kg,190,216,staples
6,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619234468476-73118ccf-9f0c-48e0-a2a8-c9f80444755e.jpeg,777 kurnool sona masuri rice (gunny bag)/777 కర్నూలు సోనా మసూరి బియ్యం (గన్నీ బాగ్),Size: 1 Kg,52,55,staples
7,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619235081893-c8faf325-256a-4f71-a866-dbb8a70990a3.jpeg,777 steam sona rice/777 ఆవిరి సోనా బియ్యం,Size: 1 Kg,42,45,staples
8,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619235274147-dee91631-7295-4cfa-861a-74abbc9685fc.jpeg,hyma bullet pl rice/హైమా బుల్లెట్ పిఎల్ రైస్,Size: 1 Kg,38,72,staples
9,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619237860608-ce034be8-3db1-458f-a721-449d8bcf6b07.jpeg,basmathi rice loose (unity)/బాస్మతి బియ్యం లూస్(యూనిటీ),per kg,100,120,staples
10,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619237928081-4a8d32a9-9362-46b8-8ce9-9294d329e0fe.jpeg,basmati rice loose (waga)/బాస్మతి బియ్యం,per kg,100,120,staples
11,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619253474773-13b47b48-fc72-4da3-b53d-1eecab4a4ba3.jpeg,swarna rice (green apple)/స్వర్ణ బియ్యం,Size: 1 Kg,36,40,staples
12,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619238152893-4db94448-3f50-4d90-8404-6c71ab77b7aa.jpeg,maharani jeera sona masuri rice ( మహారాణి జీరా సోనా మసూరి రైస్),Size: 1 Kg,50,55,staples
13,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619254099628-4a5bdb2d-f066-49df-b6ca-d731b087f2e8.jpeg,bambino vermicelli(బాంబినో సెమియా),Size: 250gm,20,,staples
14,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619254080485-364012af-503b-442d-8f56-9885c0a6c7a8.jpeg,mtr vermicelli/ఎంటిఆర్ సేమ్యా,Size: 80gm,10,,staples
15,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619254065219-7067c8ff-29d0-4ee2-b38b-c45acd943204.jpeg,varalakshmi nylon sago(వరలక్ష్మి నైలాన్ సగ్గుబియ్యం),Size: 200gm,25,,staples
16,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619254048917-24508b25-8cd0-4f4a-800f-dc09f71aee83.jpeg,varalakshmi big sago(వరలక్ష్మి పెద్ద సగ్గుబియ్యం),Size: 200gm,25,37,staples
17,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619669745738-fe762dce-2f6a-4ca3-bf0c-1b9dc23c42d5.jpeg,sajjuvalu / సజ్జువాలు,Size: 100gm,30,50,staples
18,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619610553982-0291cd61-8220-4a9b-bd2e-fd68d150f8ec.jpeg,paccha karupuran / పచ్చకర్పురం,Size: 10gm,30,35,staples
19,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619610517981-1ff4b02e-c76c-4e3c-b948-4e2b99ff2709.jpeg,lg inguva / l.g ఇంగువ పోడి,per 50 gram,75,79,staples
20,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619610689106-19b5e8e1-cd6f-4de1-bf7d-8a9e53ce9f2a.jpeg,pul makahni / పుల్ ముఖాని,per 250 gram,120,150,staples
21,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619920885607-af252ed3-ba72-4fb9-b611-ded839d92520.jpeg,vepukuney gottalu/ వేపుకునే గొట్టాలు,Size: 250gm,20,25,staples
22,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619920847238-3d753cb4-4f8c-417c-b330-c40cc8f7a016.jpeg,bendakaya chips/ బెండకాయ చిప్స్,Size: 250gm,20,25,staples
23,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619920774400-019679c6-c8b8-476f-b433-5898871f01f8.jpeg,samosa chips/ సమోసా చిప్స్,Size: 250gm,25,30,staples
24,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1620104101562-3d18639b-640d-4710-a9ad-497b60841a65.jpeg,barle/బార్లీ,Size: 100gm,10,15,staples
25,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1621040857683-3aa4e074-6551-436f-8c45-7e1679b2d681.jpeg,ashoka pappads/ అశోక అప్పడలు,Size: 80gm,15,22,staples
26,https://cdn.mydukaan.io/app/image/357x357/?url=https://projecteagle.s3.ap-south-1.amazonaws.com/images/d46ef7ff-b8ea-4fab-b1e1-41c7c6d89c7e.jpg,india gate super basmati rice 1500 gram,per 1500 gram,175,190,staples
27,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1620105397832-73ba8def-b63a-4dc6-a328-c321604b5ad4.jpeg,nutrela soya granules/న్యూట్రెలా సోయా కణికలు,per kg,120,140,staples
28,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619959136204-ca522389-33e4-4b4f-895f-dfa6f0ee7ade.jpeg,kellogg's oats 2 units (2*450gm) / కెల్లాగ్స్ ఓట్స్,per 900 gram,170,,staples
29,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1620104339634-1594ced8-651c-44ca-9ab8-84705f4678d8.jpeg,corn chips / mokka jonna chips/మొక్కజొన్న చిప్స్,Size: 250gm,20,25,staples
30,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619959057180-76444a10-b669-4c4f-8b03-43ac339bbc7f.jpeg,saffola oats free 400g oats with this pack / సాఫోలా ఓట్స్,per kg,195,199,staples
31,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619952178175-4b03326e-e5c3-499c-a21a-c156b32949aa.jpeg,m t r gulab jamun buy1 get 1 offer,per 175 gram,125,130,staples
32,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1619951945575-4878db86-5b03-4d23-a259-0f9ae9791b92.jpeg,aashirvaad instant gulab jamun mix buy 1 get 1 free,per 175 gm,130,,staples
33,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan-prod.s3.amazonaws.com/master/products/tata-salt-1kg.jpg,tata salt 1kg,per kg,20,21,staples
34,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1625832126354-e148eae7-511f-4538-ac6a-4a64cd46f88e.jpeg,green bhatni/ green peas,Size: 100 Gm,15,20,staples
35,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1625832257663-db9e4061-61bd-4dab-bb9e-c08255b2713d.jpeg,white bhatni / white peas,Size: 250 Gm,25,30,staples
36,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1626002579845-1656fd36-b775-46aa-b180-7b92a7cc3b9d.jpeg,vamu/ajwain,Size: 50 Gm,15,20,staples
37,https://cdn.mydukaan.io/app/image/357x357/?url=https://projecteagle.s3.ap-south-1.amazonaws.com/images/552c91be-5613-4a55-870b-e1a85c210580.jpg,srilalitha brown rice,per 5 kg,300,350,staples
38,https://cdn.mydukaan.io/app/image/357x357/?url=https://mydukaan.s3.amazonaws.com/4095334/aed5eba0-f960-4532-acdb-c318a2972346/1627044911098-9390efd5-cc79-4835-bdd8-c307e2b0009b.jpeg,eggs,Size: 1 Pc,5,6,staples
39,https://cdn.mydukaan.io/app/image/357x357/?url=https://projecteagle.s3.ap-south-1.amazonaws.com/images/27c7b75a-329c-4b5e-9114-07207278fd12.jpg,telagapindi/ తెలగాపిండి,Size: 50 Gm,5,10,staples
